#OTU ID	BRK01	BRK02	BRK03	BRK04	BRK05	BRK06	BRK07	BRK08	BRK09	BRK10	BRK100	BRK101	BRK102	BRK107	BRK108	BRK11	BRK110	BRK113	BRK116	BRK117	BRK12	BRK121	BRK122	BRK124	BRK125	BRK129	BRK13	BRK130	BRK132	BRK133	BRK137	BRK14	BRK140	BRK141	BRK145	BRK148	BRK149	BRK15	BRK153	BRK156	BRK157	BRK16	BRK161	BRK163	BRK164	BRK165	BRK169	BRK170	BRK171	BRK172	BRK173	BRK177	BRK178	BRK179	BRK180	BRK181	BRK185	BRK186	BRK187	BRK188	BRK19	BRK20	BRK21	BRK33	BRK34	BRK35	BRK36	BRK37	BRK38	BRK39	BRK40	BRK41	BRK42	BRK43	BRK44	BRK45	BRK46	BRK47	BRK48	BRK51	BRK52	BRK53	BRK54	BRK57	BRK58	BRK59	BRK60	BRK61	BRK62	BRK63	BRK64	BRK65	BRK66	BRK67	BRK68	BRK69	BRK70	BRK71	BRK72	BRK73	BRK74	BRK75	BRK76	BRK77	BRK78	BRK79	BRK80	BRK81	BRK97	BRK98	BRK99
OTU_3848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	10	0	0	0	10	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU_3849	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	2	0	3	1	0	0	3	0	6	0	0	0	4	1	0	4	3	0	1	19	12	0	1	0	0	2	2	5	0	5	0	0	0	3	2	4	0	1	1	1	3	0	0	0	0
OTU_3850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3851	0	0	0	0	0	0	1	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0
OTU_3852	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	21	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	3	0	1	2	3	0	0	1	0	0	0	1	0	2	1	1	3	3	2	0	0	1	0	0	2	0	0	0	0	0	2	1	0	4	0	1	8	2	0	0	0	0	0
OTU_3853	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	1	2	2	1	0	4	1	2	0	1	3	3	0	0	1	0	1	1	2	1	0	1	0	4	0	2	3	0	0	5	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0
OTU_3854	0	0	2	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	14	0	1	2	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_3855	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	8	0	0	0	0	0	0	0	2	0	0	0	5	3	0	0	0	11	0	11	4	7	1	25	0	5	0	8	0	2	0	16	4	15	1	0	0	0	0
OTU_3856	0	0	0	0	0	0	0	0	0	0	1	0	0	1	10	0	0	0	15	0	0	0	0	10	0	0	0	0	5	0	0	0	8	0	11	0	0	0	0	1	1	0	19	0	0	0	25	3	0	0	0	43	5	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
OTU_3857	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	5	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
