SAMPID	BRK	BRKSET	SEQRUN	PLATE	RAW	XYLAN(Y/N)	SEAWEED(Y/N)	FERMENTED	SUBSTRATE	ANIMAL	DONOR	CONANDO	UNIQUES	PAIRTAG									
144	BRK142	2	1	2	Rapeseed	n	n	Unfermented	C100	Pig	C	PigC	C100 PigC	DUP84									
P4N	BRK143	2	1	2			n	Unfermented	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVENEGATIVE	NEGATIVE NEGATIVENEGATIVE	DUP22									
P4P	BRK144	2	1	2			n	Unfermented	POSITIVE	POSTIVE	POSTIVE	POSTIVEPOSTIVE	POSITIVE POSTIVEPOSTIVE	DUP23									
157	BRK145	2	1	2	Soybean	n	n	Unfermented	C2299	Pig	A	PigA	C2299 PigA	DUP96									
149	BRK146	2	1	2	Rapeseed	n	n	Unfermented	C1199	Pig	C	PigC	C1199 PigC	DUP97									
145	BRK147	2	1	2	Rapeseed	n	n	Unfermented	C1199	Pig	A	PigA	C1199 PigA	DUP65									
163	BRK148	2	1	2	Rapeseed + Seaweed	n	y	Fermented	EP100	Pig	A	PigA	EP100 PigA	DUP81									
180	BRK149	2	1	2	Soybean	n	y	Fermented	EP200	Pig	C	PigC	EP200 PigC	DUP98									
184	BRK150	2	1	2	Soybean	n	y	Fermented	EP2299	Pig	B	PigB	EP2299 PigB	DUP99									
183	BRK151	2	1	2	Soybean	n	y	Fermented	EP2299	Pig	B	PigB	EP2299 PigB	DUP99									
236	BRK152	2	1	2	Xylan + Rapeseed	y	y	Fermented	XYL2 EP1199	Pig	A	PigA	XYL2 EP1199 PigA	DUP100									
197	BRK153	2	1	2	Xylan	y	n	Unfermented	XYL2	Pig	C	PigC	XYL2 PigC	DUP101									
193	BRK154	2	1	2	Xylan	y	n	Unfermented	XYL2	Pig	A	PigA	XYL2 PigA	DUP102									
234	BRK155	2	1	2	Xylan + Rapeseed	y	y	Fermented	XYL2 EP100	Pig	C	PigC	XYL2 EP100 PigC	DUP66									
230	BRK156	2	1	2	Xylan + Rapeseed	y	y	Fermented	XYL2 EP100	Pig	A	PigA	XYL2 EP100 PigA	DUP87									
237	BRK157	2	1	2	Xylan + Rapeseed	y	y	Fermented	XYL2 EP1199	Pig	B	PigB	XYL2 EP1199 PigB	DUP85									
176	BRK158	2	1	2	Soybean	n	y	Fermented	EP200	Pig	A	PigA	EP200 PigA	DUP103									
160	BRK159	2	1	2	Soybean	n	n	Unfermented	C2299	Pig	B	PigB	C2299 PigB	DUP104									
206	BRK160	2	1	2	Xylan + Rapeseed	y	y	Fermented	XYL1 EP100	Pig	A	PigA	XYL1 EP100 PigA	DUP105									
175	BRK161	2	1	2	Soybean	n	y	Fermented	EP200	Pig	A	PigA	EP200 PigA	DUP103									
204	BRK162	2	1	2	Xylan	y	n	Unfermented	XYLC	Pig	C	PigC	XYLC PigC	DUP106									
189	BRK163	2	1	2	Xylan	y	n	Unfermented	XYL1	Pig	B	PigB	XYL1 PigB	DUP107									
223	BRK164	2	1	2	Xylan + Soybean	y	y	Fermented	XYL1 EP2299	Pig	A	PigA	XYL1 EP2299 PigA	DUP108									
271	BRK165	2	1	2	Xylan + Soybean	y	y	Fermented	XYLC EP2299	Pig	A	PigA	XYLC EP2299 PigA	DUP109									
266	BRK166	2	1	2	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYLC EP200	Pig	A	PigA	XYLC EP200 PigA	DUP110									
P5N	BRK167	2	1	2			n	Unfermented	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVENEGATIVE	NEGATIVE NEGATIVENEGATIVE	DUP22									
P5P	BRK168	2	1	2			n	Unfermented	POSITIVE	POSTIVE	POSTIVE	POSTIVEPOSTIVE	POSITIVE POSTIVEPOSTIVE	DUP23									
148	BRK169	2	1	2	Rapeseed	n	n	Unfermented	C1199	Pig	B	PigB	C1199 PigB	DUP111									
162	BRK170	2	1	2	Soybean	n	n	Unfermented	C2299	Pig	C	PigC	C2299 PigC	DUP112									
159	BRK171	2	1	2	Soybean	n	n	Unfermented	C2299	Pig	B	PigB	C2299 PigB	DUP104									
182	BRK172	2	1	2	Soybean + Seaweed	n	y	Fermented	EP2299	Pig	A	PigA	EP2299 PigA	DUP113									
139	BRK173	2	1	2	Rapeseed	n	n	Unfermented	C100	Pig	A	PigA	C100 PigA	DUP95									
245	BRK174	2	1	2	Xylan + Soybean + Seaweed	y	y	Fermented	XYL2 EP200	Pig	C	PigC	XYL2 EP200 PigC	DUP114									
244	BRK175	2	1	2	Xylan + Soybean + Seaweed	y	y	Fermented	XYL2 EP200	Pig	B	PigB	XYL2 EP200 PigB	DUP115									
192	BRK176	2	1	2	Xylan	y	n	Unfermented	XYL1	Pig	C	PigC	XYL1 PigC	DUP116									
212	BRK177	2	1	2	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYL1 EP1199	Pig	A	PigA	XYL1 EP1199 PigA	DUP90									
181	BRK178	2	1	2	Soybean + Seaweed	n	y	Fermented	EP2299	Pig	A	PigA	EP2299 PigA	DUP113									
247	BRK179	2	1	2	Xylan + Soybean + Seaweed	y	y	Fermented	XYL2 EP2299	Pig	A	PigA	XYL2 EP2299 PigA	DUP117									
207	BRK180	2	1	2	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYL1 EP100	Pig	B	PigB	XYL1 EP100 PigB	DUP69									
190	BRK181	2	1	2	Xylan	y	n	Unfermented	XYL1	Pig	B	PigB	XYL1 PigB	DUP107									
272	BRK182	2	1	2	Xylan + Soybean + Seaweed	y	y	Fermented	XYLC EP2299	Pig	A	PigA	XYLC EP2299 PigA	DUP109									
151	BRK183	2	1	2	Soybean	n	n	Unfermented	C200	Pig	A	PigA	C200 PigA	DUP118									
155	BRK184	2	1	2	Soybean	n	n	Unfermented	C200	Pig	C	PigC	C200 PigC	DUP82									
