F;BRK;BRKSET;SEQRUN;PLATE;RAW;XYLAN;SEAWEED;FERMENTED;SUBSTRATE;ANIMAL;DONOR;UNIQUES;UNIQUES2;BIOLEC
106;BRK38;1;2;3;XylanSoybean;y;n;Fermented;XYL2EP200;Human;B;XYL2EP200 HumanB;XYL2EP200 HumanB 106;HB5
107;BRK37;1;2;3;XylanSoybean;y;n;Fermented;XYL2EP200;Human;C;XYL2EP200 HumanC;XYL2EP200 HumanC 107;HB5
108;BRK36;1;2;3;XylanSoybean;y;n;Fermented;XYL2EP200;Human;C;XYL2EP200 HumanC;XYL2EP200 HumanC 108;HB5
109;BRK26;1;2;3;XylanSoybeanSeaweed;y;y;Fermented;XYL2EP2299;Human;A;XYL2EP2299 HumanA;XYL2EP2299 HumanA 109;HB5
110;BRK2;1;1;1;XylanSoybeanSeaweed;y;y;Fermented;XYL2EP2299;Human;A;XYL2EP2299 HumanA;XYL2EP2299 HumanA 110;HB1
111;BRK84;1;1;1;XylanSoybean;y;y;Fermented;XYL2EP2299;Human;B;XYL2EP2299 HumanB;XYL2EP2299 HumanB 111;HB4
115;BRK1;1;2;3;XylanSoybean;y;n;Fermented;XYCEP100;Human;A;XYCEP100 HumanA;XYCEP100 HumanA 115;HB4
117;BRK65;1;1;1;XylanRapeseed;y;n;Fermented;XYCEP100;Human;B;XYCEP100 HumanB;XYCEP100 HumanB 117;HB3
118;BRK45;1;1;1;XylanRapeseed;y;n;Fermented;XYCEP100;Human;B;XYCEP100 HumanB;XYCEP100 HumanB 118;HB2
119;BRK51;1;1;1;XylanRapeseed;y;n;Fermented;XYCEP100;Human;C;XYCEP100 HumanC;XYCEP100 HumanC 119;HB2
120;BRK11;1;1;1;XylanRapeseed;y;n;Fermented;XYCEP100;Human;C;XYCEP100 HumanC;XYCEP100 HumanC 120;HB1
121;BRK92;1;1;1;XylanRapeseed;y;y;Fermented;XYLCEP1199;Human;A;XYLCEP1199 HumanA;XYLCEP1199 HumanA 121;HB4
122;BRK50;1;1;1;XylanRapeseedSeaweed;y;y;Fermented;XYLCEP1199;Human;A;XYLCEP1199 HumanA;XYLCEP1199 HumanA 122;HB2
123;BRK17;1;2;3;XylanRapeseedSeaweed;y;y;Fermented;XYLCEP1199;Human;B;XYLCEP1199 HumanB;XYLCEP1199 HumanB 123;HB5
124;BRK63;1;1;1;XylanRapeseedSeaweed;y;y;Fermented;XYLCEP1199;Human;B;XYLCEP1199 HumanB;XYLCEP1199 HumanB 124;HB3
125;BRK16;1;2;3;XylanRapeseedSeaweed;y;y;Fermented;XYLCEP1199;Human;C;XYLCEP1199 HumanC;XYLCEP1199 HumanC 125;HB5
126;BRK22;1;2;3;XylanRapeseedSeaweed;y;y;Fermented;XYLCEP1199;Human;C;XYLCEP1199 HumanC;XYLCEP1199 HumanC 126;HB5
127;BRK31;1;2;3;XylanSoybean;y;n;Fermented;XYLCEP200;Human;A;XYLCEP200 HumanA;XYLCEP200 HumanA 127;HB5
128;BRK49;1;1;1;XylanSoybean;y;n;Fermented;XYLCEP200;Human;A;XYLCEP200 HumanA;XYLCEP200 HumanA 128;HB2
129;BRK9;1;1;1;XylanSoybean;y;n;Fermented;XYLCEP200;Human;B;XYLCEP200 HumanB;XYLCEP200 HumanB 129;HB1
130;BRK2;1;2;3;XylanSoybean;y;n;Fermented;XYLCEP200;Human;B;XYLCEP200 HumanB;XYLCEP200 HumanB 130;HB4
131;BRK32;1;2;3;XylanSoybean;y;n;Fermented;XYLCEP200;Human;C;XYLCEP200 HumanC;XYLCEP200 HumanC 131;HB5
133;BRK13;1;1;1;XylanSoybeanSeaweed;y;y;Fermented;XYLCEP2299;Human;A;XYLCEP2299 HumanA;XYLCEP2299 HumanA 133;HB1
134;BRK66;1;1;1;XylanSoybeanSeaweed;y;y;Fermented;XYLCEP2299;Human;A;XYLCEP2299 HumanA;XYLCEP2299 HumanA 134;HB3
135;BRK62;1;1;1;XylanSoybeanSeaweed;y;y;Fermented;XYLCEP2299;Human;B;XYLCEP2299 HumanB;XYLCEP2299 HumanB 135;HB3
136;BRK93;1;1;1;XylanSoybeanSeaweed;y;y;Fermented;XYLCEP2299;Human;B;XYLCEP2299 HumanB;XYLCEP2299 HumanB 136;HB4
138;BRK64;1;1;1;XylanSoybeanSeaweed;y;y;Fermented;XYLCEP2299;Human;C;XYLCEP2299 HumanC;XYLCEP2299 HumanC 138;HB3
139;BRK173;2;1;2;Rapeseed;n;n;Unfermented;C100;Pig;A;C100 PigA;C100 PigA 139;B6M
140;BRK141;2;1;2;Rapeseed;n;n;Unfermented;C100;Pig;A;C100 PigA;C100 PigA 140;B4
141;BRK67;1;2;3;Rapeseed;n;n;Unfermented;C100;Pig;B;C100 PigB;C100 PigB 141;B1
142;BRK127;2;1;2;Rapeseed;n;n;Unfermented;C100;Pig;B;C100 PigB;C100 PigB 142;B4
143;BRK128;2;1;2;Rapeseed;n;n;Unfermented;C100;Pig;C;C100 PigC;C100 PigC 143;B4
144;BRK142;2;1;2;Rapeseed;n;n;Unfermented;C100;Pig;C;C100 PigC;C100 PigC 144;B4
145;BRK147;2;1;2;Rapeseed;n;n;Unfermented;C1199;Pig;A;C1199 PigA;C1199 PigA 145;B5
146;BRK101;2;1;2;Rapeseed;n;n;Unfermented;C1199;Pig;A;C1199 PigA;C1199 PigA 146;B3
147;BRK91;1;2;3;RapeseedSeaweed;n;y;Unfermented;C1199;Pig;B;C1199 PigB;C1199 PigB 147;B2
148;BRK169;2;1;2;Rapeseed;n;n;Unfermented;C1199;Pig;B;C1199 PigB;C1199 PigB 148;B6M
149;BRK146;2;1;2;Rapeseed;n;n;Unfermented;C1199;Pig;C;C1199 PigC;C1199 PigC 149;B5
150;BRK92;1;2;3;RapeseedSeaweed;n;y;Unfermented;C1199;Pig;C;C1199 PigC;C1199 PigC 150;B2
151;BRK183;2;1;2;Soybean;n;n;Unfermented;C200;Pig;A;C200 PigA;C200 PigA 151;B6M
153;BRK99;2;1;2;Soybean;n;n;Unfermented;C200;Pig;B;C200 PigB;C200 PigB 153;B3
154;BRK189;2;1;2;Soybean;n;n;Unfermented;C200;Pig;B;C200 PigB;C200 PigB 154;B6M
155;BRK184;2;1;2;Soybean;n;n;Unfermented;C200;Pig;C;C200 PigC;C200 PigC 155;B6M
156;BRK126;2;1;2;Soybean;n;n;Unfermented;C200;Pig;C;C200 PigC;C200 PigC 156;B4
157;BRK145;2;1;2;Soybean;n;n;Unfermented;C2299;Pig;A;C2299 PigA;C2299 PigA 157;B5
159;BRK171;2;1;2;Soybean;n;n;Unfermented;C2299;Pig;B;C2299 PigB;C2299 PigB 159;B6M
160;BRK159;2;1;2;Soybean;n;n;Unfermented;C2299;Pig;B;C2299 PigB;C2299 PigB 160;B5
161;BRK185;2;1;2;Soybean;n;n;Unfermented;C2299;Pig;C;C2299 PigC;C2299 PigC 161;B6M
162;BRK170;2;1;2;Soybean;n;n;Unfermented;C2299;Pig;C;C2299 PigC;C2299 PigC 162;B6M
163;BRK148;2;1;2;RapeseedSeaweed;n;y;Fermented;EP100;Pig;A;EP100 PigA;EP100 PigA 163;B5
164;BRK125;2;1;2;RapeseedSeaweed;n;y;Fermented;EP100;Pig;A;EP100 PigA;EP100 PigA 164;B4
165;BRK66;1;2;3;Rapeseed;n;n;Fermented;EP100;Pig;B;EP100 PigB;EP100 PigB 165;B1
167;BRK65;1;2;3;Rapeseed;n;n;Fermented;EP100;Pig;C;EP100 PigC;EP100 PigC 167;B1
168;BRK100;2;1;2;RapeseedSeaweed;n;y;Fermented;EP100;Pig;C;EP100 PigC;EP100 PigC 168;B3
